# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  130       5.017424904573e-10       1.508724276337e-13      -5.545473673381e-12       7.071547887309e-16       4.975267066791e-12       8.046828357479e-13      -5.228695418114e-15 
  131       5.065312630644e-10       1.515044490575e-13      -5.606106329578e-12       7.186329800890e-16       4.870184751155e-12       7.915345652565e-13      -5.151580208391e-15 
  132       5.113219947609e-10       1.520708392888e-13      -5.664578964532e-12       7.302271626457e-16       4.768088503769e-12       7.787070965073e-13      -5.075312984618e-15 
  133       5.161132570394e-10       1.525710312462e-13      -5.720821309775e-12       7.419382100532e-16       4.668844673945e-12       7.661936337087e-13      -5.000124867734e-15 
  134       5.209035299608e-10       1.530045241473e-13      -5.774763604630e-12       7.537670059605e-16       4.572299065416e-12       7.539854426606e-13      -4.926253824256e-15 
  135       5.256912000337e-10       1.533708851502e-13      -5.826336631924e-12       7.657144440130e-16       4.478276451675e-12       7.420718017640e-13      -4.853944729654e-15 
  136       5.304745580945e-10       1.536697509961e-13      -5.875471753703e-12       7.777814278523e-16       4.386580091314e-12       7.304399530304e-13      -4.783449431737e-15 
  137       5.352519467992e-10       1.539008566407e-13      -5.922101709114e-12       7.899688349502e-16       4.297033434695e-12       7.190776580506e-13      -4.714965272814e-15 
  138       5.400222248131e-10       1.540641210160e-13      -5.966163025637e-12       8.022774038887e-16       4.209611140765e-12       7.079812681109e-13      -4.648443342107e-15 
  139       5.447843468586e-10       1.541595732981e-13      -6.007593926241e-12       8.147078353607e-16       4.124320761928e-12       6.971484001655e-13      -4.583760409263e-15 
  140       5.495372172523e-10       1.541873285102e-13      -6.046333629776e-12       8.272608270612e-16       4.041161554314e-12       6.865753746519e-13      -4.520778361049e-15 
  141       5.542796887344e-10       1.541475893363e-13      -6.082322391523e-12       8.399370734574e-16       3.960124260911e-12       6.762571830345e-13      -4.459343874121e-15 
  142       5.590105612980e-10       1.540406479348e-13      -6.115501543748e-12       8.527372655585e-16       3.881190894698e-12       6.661874553481e-13      -4.399288087795e-15 
  143       5.637285810181e-10       1.538668877514e-13      -6.145813536250e-12       8.656620906861e-16       3.804334521782e-12       6.563584277422e-13      -4.340426276812e-15 
  144       5.684324388808e-10       1.536267853330e-13      -6.173201976915e-12       8.787122322438e-16       3.729519044525e-12       6.467609100243e-13      -4.282557524107e-15 
  145       5.731207696129e-10       1.533209121408e-13      -6.197611672261e-12       8.918883694877e-16       3.656698984681e-12       6.373842532037e-13      -4.225464393583e-15 
  146       5.777921505107e-10       1.529499363640e-13      -6.218988667997e-12       9.051911772963e-16       3.585819266530e-12       6.282163170354e-13      -4.168912602871e-15 
  147       5.824451002694e-10       1.525146247330e-13      -6.237280289567e-12       9.186213259404e-16       3.516815000009e-12       6.192434375637e-13      -4.112650696106e-15 
  148       5.870780778123e-10       1.520158443329e-13      -6.252435182705e-12       9.321794808535e-16       3.449611263843e-12       6.104503946661e-13      -4.056409716692e-15 
  149       5.916894811200e-10       1.514545644169e-13      -6.264403353984e-12       9.458663024013e-16       3.384122888684e-12       6.018203795968e-13      -3.999902880070e-15 
  150       5.962776460595e-10       1.508318582198e-13      -6.273136211367e-12       9.596824456525e-16       3.320254240240e-12       5.933349625308e-13      -3.942825246490e-15 
  151       6.008408452138e-10       1.501489047712e-13      -6.278586604760e-12       9.736285601482e-16       3.257899002410e-12       5.849740601072e-13      -3.884853393776e-15 
  152       6.053772867106e-10       1.494069907093e-13      -6.280708866559e-12       9.877052896723e-16       3.196939960413e-12       5.767159029734e-13      -3.825645090096e-15 
  153       6.098852448616e-10       1.486074938064e-13      -6.279459216462e-12       1.001913223327e-15       3.137273220402e-12       5.685420620769e-13      -3.764922233156e-15 
  154       6.143634682050e-10       1.477518280079e-13      -6.274796932873e-12       1.016252744125e-15       3.078883857461e-12       5.604531214734e-13      -3.702729029838e-15 
  155       6.188108073293e-10       1.468414967194e-13      -6.266683368188e-12       1.030724165824e-15       3.021776917358e-12       5.524544070037e-13      -3.639197298831e-15 
  156       6.232260859768e-10       1.458781123409e-13      -6.255081636370e-12       1.045327779879e-15       2.965953520297e-12       5.445510518195e-13      -3.574465456740e-15 
  157       6.276081005440e-10       1.448633979869e-13      -6.239956655358e-12       1.060063854968e-15       2.911410768504e-12       5.367479896908e-13      -3.508678614931e-15 
  158       6.319556195823e-10       1.437991892071e-13      -6.221275189475e-12       1.074932636509e-15       2.858141653814e-12       5.290499483140e-13      -3.441988676366e-15 
  159       6.362673832981e-10       1.426874357064e-13      -6.199005891829e-12       1.089934346187e-15       2.806134965258e-12       5.214614426194e-13      -3.374554432447e-15 
  160       6.405421030539e-10       1.415302030653e-13      -6.173119346722e-12       1.105069181475e-15       2.755375196651e-12       5.139867680788e-13      -3.306541659852e-15 
  161       6.447784608682e-10       1.403296744600e-13      -6.143588112056e-12       1.120337315154e-15       2.705842454175e-12       5.066299940133e-13      -3.238123217380e-15 
  162       6.489751089165e-10       1.390881523830e-13      -6.110386761739e-12       1.135738894837e-15       2.657512363972e-12       4.993949569011e-13      -3.169479142786e-15 
  163       6.531306690314e-10       1.378080603631e-13      -6.073491928091e-12       1.151274042488e-15       2.610355979723e-12       4.922852536847e-13      -3.100796749624e-15 
  164       6.572437322038e-10       1.364919446858e-13      -6.032882344249e-12       1.166942853951e-15       2.564339690243e-12       4.853042350792e-13      -3.032270724088e-15 
  165       6.613128580824e-10       1.351424761135e-13      -5.988538886574e-12       1.182745398463e-15       2.519425127061e-12       4.784549988794e-13      -2.964103221847e-15 
  166       6.653365744752e-10       1.337624516059e-13      -5.940444617059e-12       1.198681718183e-15       2.475569072011e-12       4.717403832680e-13      -2.896503964893e-15 
  167       6.693133768494e-10       1.323547960404e-13      -5.888584825729e-12       1.214751827712e-15       2.432723364816e-12       4.651629601228e-13      -2.829690338371e-15 
  168       6.732417278322e-10       1.309225639319e-13      -5.832947073055e-12       1.230955713611e-15       2.390834810676e-12       4.587250283248e-13      -2.763887487430e-15 
  169       6.771200567111e-10       1.294689411536e-13      -5.773521232354e-12       1.247293333932e-15       2.349845087858e-12       4.524286070656e-13      -2.699328414053e-15 
